kd_kepsek_an;kd_sekolah;pendidikan_sederajat;jenis_sek;sts_sek;kurikulum;daerah_khusus;kd_kokab;wilayah_bagian;jenis_wilayah;status_wilayah;proporsi_pendidik_min_s1;proporsi_pendidik_sertifikasi;jumlah_peserta_didik;jumlah_pendidik;rasio_pendidik_peserta_didik;jumlah_r_kelas;ketersediaan_internet;ketersediaan_listrik;jumlah_komp_milik;jumlah_perpus;jumlah_rombel;jumlah_siswa_rombel;jumlah_siswa_penerima_PIP;rasio_siswa_penerima_PIP;SES_sekolah;APC;APK;BBS;BCP;COP;CSV;ENP;EQC;EQR;HWS;KKG;KPC;KPK;KSA;KSV;LCS;LFO;MIP;NAT;OPC;PBU;PCP;PGP;PIP;PKG;PMU;POT;PPK;PSA;PSV;PPC;RC;RKG;RPI;RSD;SBU;SCO;SKG;SMK_GRMAG;SMK_GTIN;SMK_INDS;SMK_KLAB;SMK_KOMITE;SMK_KPL;SMK_PBEL;SMK_PIM;SMK_PKL;SMK_PKUR;SMK-SARPRAS;SMK_TEFA;SSV;TOC;TOR
K5100010;5100010;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;063;Indonesia Tengah;KABUPATEN;URBAN;100,00;5,26;396;19;20,84;17;Ada;Ada;9;1;11;111;125;31,57;86,21;43,84;46,78;58,37;41,94;52,48;44,69;56,56;57,79;48,35;46,63;64,32;55,63;50,00;56,93;67,18;64,92;46,36;56,99;78,59;77,57;67,97;58,35;60,88;69,57;46,80;81,56;65,36;59,82;65,22;52,38;59,82;59,13;55,94;40,60;50,25;51,91;58,21;50,04;;;;;;;;;;;;;49,76;40,18;59,87
K5100006;5100006;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;063;Indonesia Tengah;KABUPATEN;RURAL;100,00;31,58;167;19;8,79;7;Tidak ada;Ada;16;1;6;55;48;28,74;59,66;43,94;58,83;45,06;61,46;66,10;54,08;78,95;75,96;92,20;78,64;92,59;55,99;78,90;80,60;79,31;67,11;65,89;76,12;100,00;55,05;73,40;79,10;100,00;97,99;62,09;85,43;72,63;59,90;73,01;52,13;59,90;64,65;88,11;83,86;47,24;74,80;58,01;88,68;;;;;;;;;;;;;70,06;58,74;69,30
K5100468;5100468;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;241;Indonesia Tengah;KOTA;URBAN;100,00;33,33;678;33;20,55;21;Ada;Ada;9;1;20;250;76;11,21;80,51;61,01;82,22;23,50;45,43;58,82;49,17;53,35;53,37;80,16;55,20;75,85;55,99;46,97;46,06;63,51;76,17;56,07;76,12;78,37;69,93;67,97;58,12;53,06;83,65;53,41;69,73;63,22;59,90;69,84;46,75;59,90;61,09;51,30;49,53;51,96;60,91;68,69;59,57;;;;;;;;;;;;;61,35;40,18;50,27
K5100461;5100461;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;241;Indonesia Tengah;KOTA;URBAN;100,00;59,09;728;44;16,55;28;Ada;Ada;6;1;22;245;259;35,58;74,65;73,91;75,78;73,71;86,13;97,00;44,69;74,40;62,79;80,16;82,71;90,21;55,63;66,02;69,83;75,13;94,45;84,77;97,54;100,00;86,44;81,60;89,28;87,53;77,12;74,17;81,56;74,34;60,65;85,71;75,03;60,65;80,68;55,94;46,55;61,28;79,96;71,77;88,34;;;;;;;;;;;;;62,04;58,74;56,46
K5100467;5100467;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;241;Indonesia Tengah;KOTA;URBAN;100,00;0,00;42;1;42,00;3;Ada;Ada;0;1;3;13;23;54,76;76,71;52,28;51,91;65,56;52,57;59,93;64,27;56,56;45,19;48,35;54,03;64,32;49,64;47,19;45,84;45,87;54,30;48,88;63,67;47,17;100,00;60,06;58,35;66,99;69,57;46,80;52,25;59,20;55,68;65,22;52,38;55,68;48,00;51,30;56,58;45,54;51,91;53,18;73,87;;;;;;;;;;;;;57,93;33,18;76,48
K5100464;5100464;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;195;Indonesia Tengah;KOTA;URBAN;100,00;44,83;1449;58;24,98;41;Ada;Ada;9;1;38;508;247;17,05;76,82;83,22;87,23;68,03;100,00;67,21;54,61;99,82;71,73;100,00;99,17;85,18;82,67;62,23;100,00;75,03;84,14;71,87;89,08;72,17;58,21;100,00;87,49;95,19;91,03;61,88;88,00;74,34;76,06;93,27;83,04;76,06;84,68;93,97;97,96;58,17;100,00;100,00;69,62;;;;;;;;;;;;;91,78;100,00;62,48
K5100466;5100466;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;195;Indonesia Tengah;KOTA;URBAN;100,00;72,73;383;11;34,82;18;Ada;Ada;6;2;12;109;122;31,85;77,81;51,89;52,86;65,56;86,13;74,49;87,80;61,82;68,65;92,20;78,64;75,85;43,83;58,98;67,27;79,31;81,64;78,79;99,24;78,37;65,24;94,19;58,12;80,44;63,79;46,80;64,41;67,58;72,66;72,78;57,95;72,66;68,66;72,72;55,17;44,83;55,03;63,86;88,68;;;;;;;;;;;;;75,98;40,18;59,07
K5100462;5100462;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;238;Indonesia Tengah;KABUPATEN;RURAL;100,00;56,67;345;30;11,50;23;Ada;Ada;3;1;12;118;174;50,43;74,67;83,22;87,23;71,14;80,65;86,64;54,61;87,42;74,62;100,00;99,17;71,73;59,62;50,76;83,90;75,03;77,19;57,85;100,00;72,17;58,21;100,00;77,16;75,96;91,03;61,88;88,00;66,04;62,88;77,09;55,63;62,88;71,50;93,97;55,33;69,61;100,00;100,00;93,19;;;;;;;;;;;;;82,83;46,28;62,48
K5100457;5100457;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;238;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;103;18;5,72;8;Ada;Ada;4;1;6;40;41;39,81;74,58;70,42;85,80;47,96;100,00;68,15;77,79;66,64;96,06;100,00;49,38;61,76;28,95;23,05;56,61;67,07;68,67;57,85;63,67;72,17;27,52;69,30;87,49;75,96;91,03;83,99;67,39;52,87;47,64;79,74;83,04;47,64;67,23;82,41;68,42;53,06;49,51;100,00;35,49;;;;;;;;;;;;;62,33;100,00;58,62
K5100463;5100463;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;182;Indonesia Tengah;KABUPATEN;RURAL;100,00;42,86;565;28;20,18;18;Ada;Ada;5;1;18;189;258;45,66;72,80;47,72;58,83;50,64;34,97;58,82;44,69;53,35;57,79;48,35;78,64;75,85;49,09;67,21;55,54;40,67;50,00;56,07;61,47;69,02;47,30;73,40;53,61;74,25;97,99;41,43;54,59;52,52;49,71;66,96;42,37;49,71;57,88;61,16;49,53;51,96;49,96;52,87;88,68;;;;;;;;;;;;;61,35;33,18;69,30
